"h","theta","layer_id","r_squared","rmse","r_um"
0.01,0.405236317426248,"781687",0.999999999999936,2.29925846631499e-08,3000
0.010471285480509,0.405230733358173,"781687",0.999999999999936,2.29925846631499e-08,2864.97775806431
0.0109647819614319,0.405224730894752,"781687",0.999999999999936,2.29925846631499e-08,2736.03251806773
0.0114815362149688,0.405218278723793,"781687",0.999999999999936,2.29925846631499e-08,2612.89076986824
0.0120226443461741,0.405211343195453,"781687",0.999999999999936,2.29925846631499e-08,2495.29131330801
0.0125892541179417,0.405203888148607,"781687",0.999999999999936,2.29925846631499e-08,2382.98470417284
0.0131825673855641,0.405195874724456,"781687",0.999999999999936,2.29925846631499e-08,2275.73272508755
0.0138038426460289,0.405187261166465,"781687",0.999999999999936,2.29925846631499e-08,2173.30788022497
0.0144543977074593,0.405178002605646,"781687",0.999999999999936,2.29925846631499e-08,2075.49291275681
0.0151356124843621,0.40516805083014,"781687",0.999999999999936,2.29925846631499e-08,1982.08034402279
0.0158489319246111,0.405157354037998,"781687",0.999999999999936,2.29925846631499e-08,1892.87203344058
0.0165958690743756,0.405145856571949,"781687",0.999999999999936,2.29925846631499e-08,1807.67875822307
0.0173780082874938,0.405133498634914,"781687",0.999999999999936,2.29925846631499e-08,1726.31981201147
0.0181970085860998,0.405120215984901,"781687",0.999999999999936,2.29925846631499e-08,1648.62262157287
0.0190546071796325,0.405105939607852,"781687",0.999999999999936,2.29925846631499e-08,1574.42238074932
0.0199526231496888,0.405090595366914,"781687",0.999999999999936,2.29925846631499e-08,1503.56170088182
0.0208929613085404,0.405074103626527,"781687",0.999999999999936,2.29925846631499e-08,1435.89027696792
0.0218776162394955,0.405056378849589,"781687",0.999999999999936,2.29925846631499e-08,1371.26456884462
0.0229086765276777,0.4050373291659,"781687",0.999999999999936,2.29925846631499e-08,1309.5474967205
0.0239883291901949,0.405016855909935,"781687",0.999999999999936,2.29925846631499e-08,1250.60815041101
0.0251188643150958,0.404994853125931,"781687",0.999999999999936,2.29925846631499e-08,1194.32151166049
0.0263026799189538,0.404971207038122,"781687",0.999999999999936,2.29925846631499e-08,1140.56818896168
0.0275422870333817,0.404945795483856,"781687",0.999999999999936,2.29925846631499e-08,1089.2341643103
0.0288403150312661,0.404918487307226,"781687",0.999999999999936,2.29925846631499e-08,1040.2105513576
0.0301995172040202,0.404889141710692,"781687",0.999999999999936,2.29925846631499e-08,993.393364447773
0.0316227766016838,0.404857607562092,"781687",0.999999999999936,2.29925846631499e-08,948.683298050514
0.0331131121482591,0.404823722654297,"781687",0.999999999999936,2.29925846631499e-08,905.985516120605
0.0346736850452532,0.404787312914658,"781687",0.999999999999936,2.29925846631499e-08,865.209450937982
0.0363078054770101,0.404748191561295,"781687",0.999999999999936,2.29925846631499e-08,826.26861100145
0.0380189396320561,0.404706158203154,"781687",0.999999999999936,2.29925846631499e-08,789.080397568614
0.0398107170553497,0.40466099788069,"781687",0.999999999999936,2.29925846631499e-08,753.565929452874
0.0416869383470335,0.40461248004394,"781687",0.999999999999936,2.29925846631499e-08,719.649875705847
0.0436515832240166,0.404560357464683,"781687",0.999999999999936,2.29925846631499e-08,687.260295830332
0.0457088189614875,0.404504365079363,"781687",0.999999999999936,2.29925846631499e-08,656.328487184865
0.0478630092322639,0.404444218759422,"781687",0.999999999999936,2.29925846631499e-08,626.788839256212
0.0501187233627272,0.404379614005685,"781687",0.999999999999936,2.29925846631499e-08,598.578694490664
0.0524807460249773,0.404310224563552,"781687",0.999999999999936,2.29925846631499e-08,571.638215388974
0.0549540873857625,0.404235700955778,"781687",0.999999999999936,2.29925846631499e-08,545.910257582995
0.0575439937337157,0.40415566892984,"781687",0.999999999999936,2.29925846631499e-08,521.340248624813
0.0602559586074358,0.404069727817067,"781687",0.999999999999936,2.29925846631499e-08,497.876072231268
0.0630957344480193,0.403977448801036,"781687",0.999999999999936,2.29925846631499e-08,475.467957738334
0.0660693448007596,0.403878373093087,"781687",0.999999999999936,2.29925846631499e-08,454.068374530862
0.0691830970918936,0.403772010013333,"781687",0.999999999999936,2.29925846631499e-08,433.631931223778
0.072443596007499,0.40365783497611,"781687",0.999999999999936,2.29925846631499e-08,414.115279380866
0.0758577575029184,0.403535287379584,"781687",0.999999999999936,2.29925846631499e-08,395.477021566922
0.0794328234724281,0.403403768400102,"781687",0.999999999999936,2.29925846631499e-08,377.67762353825
0.0831763771102671,0.403262638692954,"781687",0.999999999999936,2.29925846631499e-08,360.679330385224
0.087096358995608,0.4031112160025,"781687",0.999999999999936,2.29925846631499e-08,344.446086449065
0.091201083935591,0.402948772686069,"781687",0.999999999999936,2.29925846631499e-08,328.943458842956
0.0954992586021436,0.40277453315783,"781687",0.999999999999936,2.29925846631499e-08,314.13856441527
0.1,0.40258767126081,"781687",0.999999999999936,2.29925846631499e-08,300
0.10471285480509,0.402387307577596,"781687",0.999999999999936,2.29925846631499e-08,286.497775806431
0.109647819614319,0.402172506692882,"781687",0.999999999999936,2.29925846631499e-08,273.603251806773
0.114815362149688,0.40194227442408,"781687",0.999999999999936,2.29925846631499e-08,261.289076986824
0.120226443461741,0.401695555039603,"781687",0.999999999999936,2.29925846631499e-08,249.529131330801
0.125892541179417,0.401431228488248,"781687",0.999999999999936,2.29925846631499e-08,238.298470417284
0.131825673855641,0.401148107667405,"781687",0.999999999999936,2.29925846631499e-08,227.573272508755
0.138038426460289,0.400844935762495,"781687",0.999999999999936,2.29925846631499e-08,217.330788022497
0.144543977074593,0.400520383695229,"781687",0.999999999999936,2.29925846631499e-08,207.549291275681
