layer_id,lab_head_m,lab_wrc
781687,1,0.341930251
781687,150,0.1356691
781687,3.3,0.256999189
781687,0.6,0.369505272
812885,0.6,0.330940883
812885,150,0.107069109
812885,10,0.2461199
812885,3.3,0.27949209
812885,20,0.182156536
812885,1,0.321207327
812892,3.3,0.28151247
812892,150,0.091520515
812892,20,0.155237329
812892,10,0.21084473
813016,3.3,0.25076412
813016,20,0.130299003
813016,150,0.07744186
813016,1,0.296245847
